s dummy RR0 RR2 RR4 RR6 RR8
0.286748 0 2.93804 8.91489 0.625151 23.1787 1.18084
0.287409 0 4.17955 -1.9911 -0.745068 -5.17687 -1.40735
0.288071 0 2.92823 -0.0170738 -4.37296 -0.0443918 -8.26004
0.288736 0 2.49704 3.5789 1.98422 9.30513 3.74798
0.289401 0 0 0 0 0 0
0.290068 0 3.53654 -8.68624 11.2576 -22.5842 21.2644
0.290737 0 6.29313 -10.085 5.91851 -26.2209 11.1794
0.291407 0 0 0 0 0 0
0.292079 0 0 0 0 0 0
0.292752 0 6.77703 0.441217 6.24191 1.14716 11.7903
0.293427 0 1.16437 1.97102 -3.71078 5.12465 -7.00925
0.294104 0 1.96591 -4.27989 4.07357 -11.1277 7.69452
0.294782 0 3.86296 1.86786 -6.32585 4.85644 -11.9488
0.295461 0 0 0 0 0 0
0.296142 0 3.4082 3.11937 -12.1905 8.11036 -23.0265
0.296825 0 3.84607 -6.067 0.587581 -15.7742 1.10988
0.297509 0 1.21383 5.27376 6.51701 13.7118 12.3099
0.298195 0 0 0 0 0 0
0.298882 0 2.10301 -5.17003 6.70651 -13.4421 12.6678
0.299571 0 3.38328 0.51775 -6.85743 1.34615 -12.9529
0.300262 0 8.56061 18.4485 2.63279 47.966 4.97305
0.300954 0 5.33985 7.24433 13.1081 18.8353 24.7597
0.301648 0 0 0 0 0 0
0.302343 0 3.06424 -1.6203 -6.61928 -4.21277 -12.5031
0.30304 0 2.16281 0.0348474 5.36183 0.0906031 10.1279
0.303739 0 4.2247 -2.12674 -3.57023 -5.52952 -6.74377
0.304439 0 4.07666 -8.02324 5.15704 -20.8604 9.74107
0.305141 0 5.60866 4.46964 15.91 11.6211 30.0522
0.305844 0 0.942112 -2.20338 2.51323 -5.72879 4.7472
0.306549 0 3.04086 -4.6677 1.78547 -12.136 3.37255
0.307256 0 4.13731 -1.26756 6.38387 -3.29566 12.0584
0.307964 0 0.854862 -2.00113 2.28822 -5.20295 4.32219
0.308674 0 1.23332 1.57243 -4.48568 4.08832 -8.47295
0.309386 0 2.32755 1.50658 -5.90603 3.91712 -11.1558
0.310099 0 2.78734 0.646772 -1.80047 1.68161 -3.40089
0.310814 0 3.45113 3.71449 -11.9696 9.65766 -22.6092
0.31153 0 0 0 0 0 0
0.312248 0 1.2084 1.39484 -4.49719 3.62658 -8.4947
0.312968 0 1.08429 4.09352 2.92941 10.6432 5.53333
0.31369 0 2.02693 -0.994197 -1.49189 -2.58491 -2.81801
0.314413 0 4.51739 -0.611504 -4.5196 -1.58991 -8.53702
0.315138 0 1.78177 -2.56598 -0.336277 -6.67155 -0.635191
0.315864 0 3.73587 -1.61796 -5.57425 -4.20669 -10.5291
0.316592 0 0.864537 -1.33439 -0.249783 -3.46941 -0.471812
0.317322 0 6.01262 -4.65113 -0.202958 -12.0929 -0.383365
0.318054 0 4.3585 -0.144641 1.5514 -0.376068 2.93043
0.318787 0 0.975269 4.61356 7.25029 11.9953 13.695
0.319522 0 2.23136 -1.95541 -4.65486 -5.08407 -8.7925
0.320258 0 3.06164 -2.2013 -5.96335 -5.72338 -11.2641
0.320996 0 6.55906 -5.50479 -9.39065 -14.3125 -17.7379
0.321736 0 0.804592 -1.98136 2.58073 -5.15153 4.87471
0.322478 0 2.88196 4.95348 -3.15934 12.8791 -5.96765
0.323222 0 3.68128 4.85073 -13.261 12.6119 -25.0486
0.323967 0 4.40871 -7.4564 0.856532 -19.3866 1.61789
0.324713 0 2.11728 5.22537 -2.17222 13.586 -4.10308
0.325462 0 2.41389 1.07445 4.0205 2.79358 7.59428
